"질의","응답","카테고리"
"판타지 소설 명작 추천해줘","'해리포터' 시리즈는 언제 읽어도 재밌어","CREATIVE"
"감동적인 책 추천해줘","'어린 왕자' 읽을 때마다 느낌이 달라","CREATIVE"
"최근 인기 있는 스릴러 소설 뭐 있어?","'살인자의 기억법' 몰입도 진짜 높아","CREATIVE"
"개그 웹툰 추천해줘","'유미의 세포들' 진짜 웃기고 공감가는 내용 많아","CREATIVE"
"성장 서사 좋은 드라마 있어?","'스물다섯 스물하나' 성장 서사 감동적이야","CREATIVE"
"판타지 애니메이션 추천해줘","'진격의 거인' 스토리 스케일이 엄청나","CREATIVE"
"에세이 책 추천해줘","'언어의 온도' 잔잔하게 읽기 좋아","CREATIVE"
"최근 화제 넷플릭스 시리즈 뭐 있어?","'오징어 게임' 이후로도 화제작 꾸준히 나와, 최근 시리즈 챙겨봐","CREATIVE"
"추리 웹툰 추천해줘","'싸이코메트리 그녀석' 추리 요소 있어서 재밌어","CREATIVE"
"감성적인 일본 소설 추천해줘","'너의 췌장을 먹고 싶어' 읽으면 여운 오래 남아","CREATIVE"
"액션 애니메이션 추천해줘","'원피스' 오래됐지만 여전히 재밌어","CREATIVE"
"잔잔한 힐링 드라마 추천해줘","'갯마을 차차차' 보면 마음이 편안해져","CREATIVE"
"고전 명작 소설 추천해줘","'노인과 바다' 짧지만 여운이 깊어","CREATIVE"
"5555555","질문을 이해하지 못했습니다. 다시 입력해주세요.","ANOMALY"
"777777","무슨 말씀인지 파악이 어려워요. 다시 한 번 말씀해 주시겠어요?","ANOMALY"
"wwwwww","죄송하지만 내용을 알아듣지 못했어요. 다른 방식으로 질문해 주세요.","ANOMALY"
"pppppp","입력하신 내용을 이해할 수 없습니다. 정확한 문장으로 다시 입력해 주세요.","ANOMALY"
"222222","이해하지 못한 질문이에요. 조금 더 구체적으로 말씀해 주시겠어요?","ANOMALY"
"ㅇㅓ떻게해ㅑ함ㄴㅣ까","요청하신 내용을 파악하지 못했습니다. 다시 시도해 주세요.","ANOMALY"
"안뇽하세욤ㅋㅋㅋ뭐라구요","어떤 의미인지 알 수 없어요. 다시 한번 정리해서 말씀해 주세요.","ANOMALY"
"ㄱㅘㅊㅏㄴㅎㅐ 이게 뭐임","인식할 수 없는 입력입니다. 올바른 문장으로 다시 입력해 주세요.","ANOMALY"
"머함ㄴㅑ 이거 대체 뭐지","질문 내용을 확인하지 못했어요. 다시 입력 부탁드립니다.","ANOMALY"
"ㅂㅏㅂㅏ보야 이게 뭔말이야","무슨 뜻인지 이해하기 어렵네요. 다시 말씀해 주시겠어요?","ANOMALY"
"어쩌라구요 ㅇㅏㅁㅜㄷㅐㄴㅁㅣ","해당 입력은 인식되지 않았습니다. 다시 한번 확인 후 입력해 주세요.","ANOMALY"
"ㅋㅋㅋㅋ뭐하냐고요오오","죄송해요, 질문을 알아듣지 못했어요. 다른 표현으로 다시 물어봐 주세요.","ANOMALY"
"그니까요 ㅇㅓ떻게 하라구","정확한 의미를 파악할 수 없습니다. 다시 입력해 주시길 바랍니다.","ANOMALY"
"ㅁㅝㅅㅗㄹㅣ야 이게","이해되지 않는 문장이에요. 조금 더 명확하게 적어주세요.","ANOMALY"
"ㅇㅐㅑㅑ 뭐라는겨","질문을 인식하지 못했습니다. 다시 한번 입력해 주세요.","ANOMALY"
"뭐하는거임뇨 ㅈㅣㄴㅉㅏ","무슨 내용인지 잘 모르겠어요. 다시 말씀해주시겠어요?","ANOMALY"
"이게뭔소리징 ㅋㅋㅋㅋ","알아들을 수 없는 입력입니다. 정상적인 문장으로 시도해 주세요.","ANOMALY"
"ㅎㅏㅇㅏ 진짜 모르겠음","질문이 명확하지 않아요. 다시 정리해서 입력해 주세요.","ANOMALY"
"대체머라는건지 모르겟음ㅇㅁ","이 내용은 이해하기 어렵습니다. 다시 질문해 주시겠어요?","ANOMALY"
"ㅋㅋㅋㅋ아니 뭐라구여","요청을 처리할 수 없습니다. 올바른 형식으로 다시 입력해 주세요.","ANOMALY"
"어쩔티비 저쩔티비 ㅋㅋ","죄송하지만 무슨 말인지 모르겠어요. 다시 한번 말해주실래요?","ANOMALY"
"뭐라카노 진짜 모르것다","질문 의도를 파악하지 못했어요. 다시 입력 부탁드려요.","ANOMALY"
"아무말 대잔치임 ㅋㅋㅋ","문장이 인식되지 않았습니다. 다시 시도해 주시기 바랍니다.","ANOMALY"
"그래서 뭐 어쩌라고 ㅋ","이해할 수 없는 내용이에요. 다른 방식으로 다시 질문해 주세요.","ANOMALY"
"무슨 소리인지 1도 모르겟","정확히 어떤 걸 물어보시는지 모르겠어요. 다시 입력해 주세요.","ANOMALY"
"asdf 짜파게티 123 ㅁㄴㅇ","알 수 없는 입력입니다. 다시 한번 확인해 주세요.","ANOMALY"
"abc 123 ㅋㅋㅋ !!!","질문을 파악할 수 없어요. 조금 더 자세히 적어주시겠어요?","ANOMALY"
"1234 ㅎㅎㅎ qwer","죄송합니다, 이해하지 못했어요. 다시 입력 부탁드립니다.","ANOMALY"
"asdf!!@@## 뭐야","무엇을 말씀하시는지 이해하기 힘들어요. 다시 시도해 주세요.","ANOMALY"
"ㅁㄴㅇㄹ123asdf","해당 문장을 인식하지 못했습니다. 다시 작성해 주세요.","ANOMALY"
"!@# 안녕 asdf 456","이해가 안 되는 질문이네요. 다시 한번 물어봐 주시겠어요?","ANOMALY"
"zzz 789 ㅠㅠㅠ","질문 내용이 불명확합니다. 정확하게 다시 입력해 주세요.","ANOMALY"
"qwer1234!@#$","어떤 답변을 드려야 할지 모르겠어요. 다시 말씀해 주세요.","ANOMALY"
"ㅋㅋ123abc!!!","문의하신 내용을 알아채지 못했습니다. 다시 입력해 주시겠어요?","ANOMALY"
"456 asdf ㅎㅎ zzz","죄송해요, 이해가 잘 안 돼요. 다시 한번 적어주세요.","ANOMALY"
"ㅂㅈㄷ 789 !!!","정상적인 질문으로 인식되지 않았습니다. 다시 입력해 주세요.","ANOMALY"
"lol123ㅋㅋㅋ###","무슨 뜻으로 입력하신 건지 모르겠어요. 다시 부탁드려요.","ANOMALY"
"asdf;lkj1234!!","질문을 해석할 수 없습니다. 다른 표현으로 다시 입력해 주세요.","ANOMALY"
"ㅇㅁㄴ456!!qwe","이 입력은 의미를 알 수 없어요. 다시 한번 시도해 주시겠어요?","ANOMALY"
"999asdf@@ㅋㅋㅋ","죄송하지만 요청을 이해하지 못했습니다. 다시 입력해 주세요.","ANOMALY"
